ADJ, NOUN	FreqADJ	FreqNOUN	FreqPattern	Size
social, media	58	74	54	47526
presidential, candidate	104	94	36	47526
last, week	72	40	34	47526
Indonesian, police	168	286	31	47526
presidential, election	104	296	26	47526
national, police	40	286	22	47526
official, election	74	296	22	47526
human, rights	22	38	20	47526
fake, news	22	68	20	47526
legislative, elections	42	66	20	47526
Indonesian, capital	168	54	18	47526
National, police	48	286	18	47526
last, month	72	26	18	47526
second, term	54	32	16	47526
Muslim, population	72	24	16	47526
Constitutional, Court	28	28	16	47526
blunt, force	14	22	14	47526
supervisory, agency	26	34	14	47526
legislative, candidate	42	94	12	47526
old, boy	26	12	12	47526
official, results	74	124	12	47526
electoral, process	34	42	12	47526
second, night	54	38	12	47526
single, name	12	38	12	47526
military, spokesman	38	52	10	47526
live, bullets	22	36	10	47526
chief, security	54	92	10	47526
other, areas	58	34	10	47526
peaceful, protests	28	80	10	47526
systematic, cheating	16	40	10	47526
local, council	38	20	10	47526
private, pollsters	10	12	10	47526
democratic, process	10	42	10	47526
unofficial, counts	10	16	10	47526
restive, province	10	32	10	47526
sharp, weapons	12	26	10	47526
legal, challenge	22	28	10	47526
election, commission	296	24	10	47526
official, count	74	20	8	47526
live, ammunition	22	10	8	47526
retired, general	14	56	8	47526
mass, rallies	24	18	8	47526
massive, cheating	16	40	8	47526
Indonesian, authorities	168	34	8	47526
last, election	72	296	8	47526
National, Police	48	80	8	47526
riot, gear	38	10	8	47526
general, elections	56	66	8	47526
last, year	72	42	8	47526
widespread, cheating	16	40	8	47526
misleading, Facebook	16	20	8	47526
military, personnel	38	18	8	47526
orange, jumpsuits	8	6	6	47526
special, forces	12	30	6	47526
Indonesian, election	168	296	6	47526
several, standoffs	18	6	6	47526
legislative, election	42	296	6	47526
Indonesian, politics	168	16	6	47526
constitutional, court	10	20	6	47526
systematic, effort	16	10	6	47526
top, security	12	92	6	47526
legal, director	22	8	6	47526
spontaneous, incident	16	10	6	47526
maritime, minister	16	38	6	47526
Indonesian, voters	168	24	6	47526
independent, observers	8	16	6	47526
online, hoaxes	12	26	6	47526
Local, TV	8	10	6	47526
Independent, observers	8	16	6	47526
certain, group	14	26	6	47526
national, spy	40	6	6	47526
potential, violence	10	60	6	47526
other, parts	58	22	6	47526
small, number	8	20	6	47526
early, hours	12	12	6	47526
supervisory, building	26	8	6	47526
presidential, elections	104	66	6	47526
Top, Officials	6	8	6	47526
strong, case	12	12	6	47526
complaint, centers	14	12	6	47526
Social, media	6	74	6	47526
Indonesian, news	168	68	6	47526
anti-riot, police	7	286	5	47526
considerable, disruption	4	4	4	47526
Javanese, population	30	24	4	47526
Many, office	22	34	4	47526
main, stock	12	4	4	47526
tough, measures	8	12	4	47526
wooden, poles	4	4	4	47526
civil, unrest	10	35	4	47526
peaceful, election	28	296	4	47526
Indonesian, men	168	10	4	47526
quick, count	8	20	4	47526
quick, counts	8	16	4	47526
local, media	38	74	4	47526
firm, action	4	10	4	47526
live, rounds	22	10	4	47526
civil, society	10	8	4	47526
senior, officials	10	34	4	47526
lead, analyst	12	4	4	47526
Muslim, organisation	72	8	4	47526
widespread, fraud	16	14	4	47526
Senior, Director	4	16	4	47526
largest, democracy	12	22	4	47526
political, landscape	24	4	4	47526
compelling, evidence	4	40	4	47526
