NOUN, ADP, NOUN	FreqNOUN1	FreqNOUN2	FreqPattern	Size
share, of, votes	60	78	10	47526
margin, of, victory	16	18	8	47526
group, of, provocateurs	26	20	8	47526
reports, from, hospitals	24	18	8	47526
embassies, in, downtown	6	10	6	47526
night, of, post-election	38	18	6	47526
dozens, of, protesters	18	90	6	47526
spread, of, misinformation	20	8	6	47526
police, in, parts	286	22	6	47526
lack, of, evidence	8	40	6	47526
assassination, as, part	21	30	6	47526
building, in, support	8	46	6	47526
standoffs, between, protesters	6	90	6	47526
analyst, for, companies	4	6	4	47526
percent, of, voters	22	24	4	47526
missiles, towards, police	4	286	4	47526
action, against, rioters	10	22	4	47526
Lead, for, Credit	4	20	4	47526
relationship, between, religion	8	22	4	47526
tables, as, barricades	4	8	4	47526
objects, at, officers	8	32	4	47526
Terms, of, Service	6	4	4	47526
reports, of, casualties	24	6	4	47526
rocks, at, police	24	286	4	47526
series, of, protests	4	80	4	47526
spread, of, hoaxes	20	26	4	47526
gas, at, protesters	52	90	4	47526
voting, for, candidates	14	10	4	47526
effects, of, tear	14	44	4	47526
cash, in, envelopes	6	12	4	47526
bullets, at, protesters	36	90	4	47526
anticipation, of, protests	10	80	4	47526
calls, for, supporters	8	62	4	47526
number, of, protesters	20	90	4	47526
rounds, of, tear	10	44	4	47526
dozens, of, people	18	130	4	47526
taxes, in, protest	2	38	2	47526
predictors, in, search	4	4	2	47526
agitation, around, campaigns	6	2	2	47526
time, for, democracy	28	22	2	47526
results, for, provinces	124	34	2	47526
Identity, versus, Development	4	6	2	47526
wave, to, journalists	2	8	2	47526
protests, by, supporters	80	62	2	47526
number, of, votes	20	78	2	47526
pistols, from, people	4	130	2	47526
police, around, dawn	286	2	2	47526
firecrackers, at, police	16	286	2	47526
pollster, as, part	2	30	2	47526
clashes, between, security	24	92	2	47526
rewards, in, exchange	2	2	2	47526
period, of, reflection	6	2	2	47526
nights, of, clashes	10	24	2	47526
rounds, of, violence	10	60	2	47526
Hundreds, of, protesters	6	90	2	47526
part, in, activities	30	6	2	47526
advantage, of, incumbency	4	2	2	47526
others, in, locations	24	8	2	47526
night, of, clashes	38	24	2	47526
fall, from, power	8	18	2	47526
establishment, of, roadblocks	2	2	2	47526
Preferences, for, candidates	2	10	2	47526
number, of, people	20	130	2	47526
numbers, of, security	8	92	2	47526
campaign, against, targets	40	8	2	47526
measure, of, district	2	56	2	47526
vehicles, for, voter	12	8	2	47526
