NOUN, NOUN	FreqNOUN1	FreqNOUN2	FreqPattern	Size
tear, gas	44	52	42	47526
election, results	296	124	42	47526
police, spokesman	286	52	28	47526
per, cent	30	28	26	47526
police, chief	286	54	24	47526
security, minister	92	38	24	47526
rubber, bullets	22	36	22	47526
news, conference	68	28	22	47526
district, office	56	34	20	47526
population, share	24	60	20	47526
security, forces	92	30	20	47526
election, result	296	54	18	47526
post, -election	46	26	16	47526
election, process	296	42	14	47526
vote, share	48	60	12	47526
campaign, team	40	36	12	47526
Image, copyright	26	12	12	47526
water, cannon	18	10	10	47526
Police, spokesman	80	52	10	47526
force, wounds	22	28	10	47526
city, council	34	20	10	47526
people, shot	130	16	10	47526
election, commission	296	24	10	47526
time, rival	28	16	8	47526
petrol, bombs	8	8	8	47526
bullet, wounds	10	28	8	47526
percentage, points	16	8	8	47526
death, toll	10	10	8	47526
gunshot, wounds	12	28	8	47526
Credit, Analytics	20	8	8	47526
assassination, plot	21	35	7	47526
army, personnel	10	18	6	47526
Cabinet, ministers	6	6	6	47526
TV, stations	10	14	6	47526
police, dormitory	286	6	6	47526
train, stations	8	14	6	47526
majority, district	34	56	6	47526
spy, chief	6	54	6	47526
security, measures	92	12	6	47526
rights, violations	38	10	6	47526
Police, chief	80	54	6	47526
police, station	286	16	6	47526
news, website	68	26	6	47526
office, buildings	34	14	6	47526
press, conference	10	28	6	47526
-election, riots	26	96	6	47526
year, term	42	32	6	47526
transportation, disruptions	4	4	4	47526
police, clash	286	10	4	47526
Twitter, account	14	4	4	47526
report, voting	28	14	4	47526
force, trauma	22	4	4	47526
election, supervisory	296	26	4	47526
caption, Protesters	14	28	4	47526
media, functions	74	4	4	47526
Media, captionTear	8	4	4	47526
media, restrictions	74	12	4	47526
television, report	8	28	4	47526
rights, abuses	38	6	4	47526
Media, playback	8	4	4	47526
post-election, protests	18	80	4	47526
Institutions, Ratings	4	36	4	47526
district, urbanization	56	4	4	47526
data, protection	26	6	4	47526
press, briefing	10	12	4	47526
Image, caption	26	14	4	47526
money, politics	16	16	4	47526
News, agency	18	34	4	47526
infrastructure, development	18	14	4	47526
water, cannons	18	4	4	47526
supervisory, agency	26	34	4	47526
polling, station	16	16	4	47526
media, platforms	74	8	4	47526
majority, districts	34	18	4	47526
party, candidate	30	94	4	47526
election, rally	296	14	4	47526
votes, cast	78	16	4	47526
police, officers	286	32	4	47526
election, agency	296	34	4	47526
brigade, police	4	286	4	47526
fire, tear	26	44	4	47526
-election, riot	26	38	4	47526
infrastructure, projects	18	6	4	47526
security, officers	92	32	4	47526
stock, index	4	8	4	47526
device, Media	6	8	4	47526
wire, barricades	14	8	4	47526
captionTear, gas	4	52	4	47526
digit, margin	6	16	4	47526
police, firing	286	4	4	47526
firing, tear	4	44	4	47526
television, banner	8	4	4	47526
station, officials	16	34	4	47526
fishing, boats	6	4	4	47526
credit, overview	10	4	4	47526
election, kill	296	6	4	47526
Product, Lead	8	4	4	47526
campaign, official	40	74	4	47526
police, arrest	286	7	3	47526
News, website	18	26	2	47526
surprise, decision	2	8	2	47526
life, imprisonment	4	2	2	47526
core, supporters	2	62	2	47526
mortem, anatomy	2	2	2	47526
media, outlets	74	2	2	47526
forces, units	30	2	2	47526
tense, stand	4	16	2	47526
count, results	20	124	2	47526
information, technology	22	2	2	47526
media, sites	74	4	2	47526
Advertisement, Advertisement	12	12	2	47526
terrorist, attacks	6	14	2	47526
Facebook, post	20	46	2	47526
counterterrorism, operations	6	2	2	47526
Faith, Politics	2	4	2	47526
ABC, News	6	18	2	47526
campaign, activities	40	6	2	47526
aid, program	2	2	2	47526
voice, messages	2	8	2	47526
Third, Party	2	8	2	47526
city, center	34	6	2	47526
am, Panel	20	2	2	47526
school, student	2	2	2	47526
news, reports	68	24	2	47526
-election, events	26	4	2	47526
development, indicators	14	2	2	47526
democracy, event	22	2	2	47526
UTC, TIMEFRAME	2	2	2	47526
Election, Year	60	4	2	47526
material, development	8	14	2	47526
text, size	6	2	2	47526
language, caption	2	14	2	47526
credit, risk	10	6	2	47526
post-election, riots	18	96	2	47526
government, officials	40	34	2	47526
sniper, rifle	4	4	2	47526
﻿, Home	2	4	2	47526
opinion, polling	6	16	2	47526
pepper, spray	2	2	2	47526
level, voting	12	14	2	47526
opposition, candidacy	26	2	2	47526
minority, voters	12	24	2	47526
gas, deposits	52	2	2	47526
village, election	2	296	2	47526
breaking, stories	2	10	2	47526
commodity, prices	2	2	2	47526
browser, version	6	6	2	47526
guest, speakers	2	2	2	47526
ballot, papers	4	2	2	47526
opposition, figures	26	12	2	47526
law, enforcement	16	4	2	47526
Downtown, areas	2	34	2	47526
police, force	286	22	2	47526
crowd, control	26	22	2	47526
ocean, tract	4	2	2	47526
police, allege	286	2	2	47526
share, varies	60	2	2	47526
home, province	8	32	2	47526
#, #	6	6	2	47526
contract, killings	2	4	2	47526
terror, attacks	2	14	2	47526
count, result	20	54	2	47526
election, loss	296	2	2	47526
