Base	Collocate	Observed Freq.	Mutual Inf.	F1	F2
police	shot	12	5.974187	366	12
police	gear	10	5.844337	366	12
police	throw	20	5.742338	366	26
police	spokesman	40	5.669460	366	52
police	top	12	5.652259	366	18
police	respond	14	5.604004	366	22
police	trigger	10	5.603329	366	16
police	tear	30	5.566036	366	46
police	fire	36	5.531741	366	56
police	investigate	12	5.471687	366	22
police	disperse	15	5.346111	366	31
police	chief	32	5.314842	366	64
police	rock	12	5.237221	366	28
police	gas	20	5.095975	366	52
police	several	10	5.055841	366	28
police	suspect	12	5.035587	366	34
police	clash	14	5.019041	366	40
police	dead	12	4.915293	366	38
police	tell	18	4.799464	366	62
police	riot	44	4.746525	366	146
police	arrest	15	4.699748	366	57
police	night	10	4.445788	366	48
police	area	10	4.349572	366	52
police	second	10	4.303769	366	54
police	national	16	4.258561	366	88
police	protester	22	4.246201	366	120
police	confirm	10	4.216306	366	58
police	indonesian	30	4.184607	366	168
police	say	80	4.132645	366	406
police	official	16	3.892911	366	118
police	use	12	3.858710	366	92
police	news	10	3.718806	366	86
police	people	16	3.711073	366	136
police	police	16	2.381572	366	366
